VTX, IDX, POSITION.x, POSITION.y, POSITION.z, NORMAL.x, NORMAL.y, NORMAL.z, TANGENT.x, TANGENT.y, TANGENT.z, TANGENT.w, TEXCOORD0.x, TEXCOORD0.y, TEXCOORD1.x, TEXCOORD1.y, TEXCOORD2.x, TEXCOORD2.y
0, 0, -0.36734,  1.53484, -0.39672, -0.55441, -0.29482, -0.77828, -0.82955,  0.12059,  0.54525, -1.00,  0.0741,  0.70238,  0.0741,  0.70238,  0.0741,  0.70238
1, 1, -0.21341,  0.60167, -0.22382, -0.93883, -0.206, -0.27599, -0.32569,  0.27051,  0.90595, -1.00,  0.0578,  0.80888,  0.0578,  0.80888,  0.0578,  0.80888
2, 2, -0.25422,  0.65225, -0.12274, -0.96465, -0.25248,  0.07545, -0.03031,  0.39072,  0.92001, -1.00,  0.07078,  0.80668,  0.07078,  0.80668,  0.07078,  0.80668
3, 0, -0.36734,  1.53484, -0.39672, -0.55441, -0.29482, -0.77828, -0.82955,  0.12059,  0.54525, -1.00,  0.0741,  0.70238,  0.0741,  0.70238,  0.0741,  0.70238
4, 2, -0.25422,  0.65225, -0.12274, -0.96465, -0.25248,  0.07545, -0.03031,  0.39072,  0.92001, -1.00,  0.07078,  0.80668,  0.07078,  0.80668,  0.07078,  0.80668
5, 3, -0.46941,  1.69501, -0.32721, -0.79177, -0.35693, -0.49569, -0.58692,  0.2198,  0.77924, -1.00,  0.09085,  0.68656,  0.09085,  0.68656,  0.09085,  0.68656
6, 4, -0.48093,  1.42816, -0.12434, -0.92044, -0.2958, -0.25551, -0.34311,  0.29829,  0.89067, -1.00,  0.10385,  0.72242,  0.10385,  0.72242,  0.10385,  0.72242
7, 3, -0.46941,  1.69501, -0.32721, -0.79177, -0.35693, -0.49569, -0.58692,  0.2198,  0.77924, -1.00,  0.09085,  0.68656,  0.09085,  0.68656,  0.09085,  0.68656
8, 2, -0.25422,  0.65225, -0.12274, -0.96465, -0.25248,  0.07545, -0.03031,  0.39072,  0.92001, -1.00,  0.07078,  0.80668,  0.07078,  0.80668,  0.07078,  0.80668
9, 4, -0.48093,  1.42816, -0.12434, -0.92044, -0.2958, -0.25551, -0.34311,  0.29829,  0.89067, -1.00,  0.10385,  0.72242,  0.10385,  0.72242,  0.10385,  0.72242
10, 2, -0.25422,  0.65225, -0.12274, -0.96465, -0.25248,  0.07545, -0.03031,  0.39072,  0.92001, -1.00,  0.07078,  0.80668,  0.07078,  0.80668,  0.07078,  0.80668
